date,Open,High,Low,Close*,Adj Close**,volume
2021-05-08,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-05-07,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-05-06,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-05-05,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-05-04,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-05-03,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-05-02,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-05-01,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-04-30,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-04-29,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-04-28,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-04-27,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-04-26,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-04-25,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-04-24,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-04-23,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-04-22,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000.0
2021-04-21,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000.0
2021-04-20,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000.0
2021-04-19,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000.0
2021-04-18,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-04-17,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-04-16,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-04-15,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-04-14,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-04-13,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-04-12,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-04-11,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-04-10,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-04-09,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-04-08,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-04-07,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-04-06,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-04-05,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-04-04,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-04-03,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-04-02,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-04-01,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-03-31,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-03-30,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-03-29,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-03-28,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-03-27,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-03-26,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-03-25,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-03-24,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-03-23,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-03-22,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-03-21,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-03-20,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-03-19,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-03-18,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-03-17,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-03-16,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000.0
2021-03-15,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000.0
2021-03-14,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000.0
2021-03-13,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000.0
2021-03-12,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000.0
2021-03-11,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
2021-03-10,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000.0
2021-03-09,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000.0
2021-03-08,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000.0
2021-03-07,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000.0
2021-03-06,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000.0
2021-03-05,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000.0
2021-03-04,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000.0
2021-03-03,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000.0
2021-03-02,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000.0
2021-03-01,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000.0
2021-02-28,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000.0
2021-02-27,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000.0
2021-02-26,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000.0
2021-02-25,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000.0
2021-02-24,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000.0
2021-02-23,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000.0
2021-02-22,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000.0
2021-02-21,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000.0
2021-02-20,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000.0
2021-02-19,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000.0
2021-02-18,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000.0
2021-02-17,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000.0
2021-02-16,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-15,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-02-14,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-02-13,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-02-12,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-02-11,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-02-10,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-02-09,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-08,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-02-07,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-02-06,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-02-05,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-02-04,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-02-03,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-02-02,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000.0
2021-02-01,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000.0
2021-01-31,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000.0
2021-01-30,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000.0
2021-01-29,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000.0
2021-01-28,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000.0
2021-01-27,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000.0
2021-01-26,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000.0
